
[+] Resolving hosts from [ host.txt ]
+-----------------------------------------------------------------------------+-----------------+-------+
| Hostname                                                                    | IP              | RType |
| 111-reviews.68.97.132.ist.edu.pk                                            | 111.68.97.150   |   A   |
| 111-s.68.97.130.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-s.68.97.137.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-search.68.97.137.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-search.68.97.138.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-security.68.97.135.ist.edu.pk                                           | 111.68.97.150   |   A   |
| 111-sept.68.97.139.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-sept.68.97.142.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-server.68.97.141.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-singed.68.97.137.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-ssl.68.97.135.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-ssl.68.97.137.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-sso.68.97.137.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-stage1.68.97.130.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-stage1.68.97.134.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-stage1.68.97.137.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-staging.68.97.131.ist.edu.pk                                            | 111.68.97.150   |   A   |
| 111-stg.68.97.143.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-swagger.68.97.134.ist.edu.pk                                            | 111.68.97.150   |   A   |
